"Time","Bacteroidia","Clostridia_258483","Negativicutes","Gammaproteobacteria","Bacilli","Desulfovibrionia","Fusobacteriia","Verrucomicrobiae","Bacteria_Kingdom","Coriobacteriia"
1,0.801444444444444,0.0701111111111111,0.000333333333333333,0.000166666666666667,0.000277777777777778,0.00644444444444444,0,0.00172222222222222,0.1195,0
2,0.677851221151692,0.127772798565987,0.00851445216222272,5.60161326462021e-05,0.000560161326462021,0.00672193591754425,0,0.0191015012323549,0.159421913511091,0
3,0.595839945590569,0.163738381319429,0.0185898889140784,0,0.000736794377692133,0.00714123781455452,0,0.0366130129222399,0.177340739061437,0
4,0.5595,0.173555555555556,0.0293888888888889,0,0.000833333333333333,0.00733333333333333,0,0.0525555555555556,0.176833333333333,0
5,0.580805844587115,0.149103387203896,0.0458268762452956,5.53464688952845e-05,0.00138366172238211,0.00763781270754926,0,0.0720611025016604,0.143125968563206,0
6,0.636636466591166,0.113873159682899,0.065911664779162,0.000113250283125708,0.00260475651189128,0.00826727066817667,0,0.0936579841449604,0.0789354473386183,0
7,0.684333333333333,0.101444444444444,0.0735555555555556,0.000222222222222222,0.00355555555555556,0.00833333333333333,0,0.100722222222222,0.0278333333333333,0
8,0.731888888888889,0.1705,0.0584444444444444,0.000111111111111111,0.00155555555555556,0.00555555555555556,0,0.0223888888888889,0.00955555555555555,0
9,0.742166666666667,0.116388888888889,0.0552777777777778,0.000222222222222222,0.00166666666666667,0.005,0,0.0172777777777778,0.062,0
10,0.736388888888889,0.156388888888889,0.0540555555555556,0.000111111111111111,0.00138888888888889,0.0105,0,0.0354444444444444,0.00572222222222222,0
11,0.726666666666667,0.2015,0.0382777777777778,0.000277777777777778,0.00122222222222222,0.006,0.000111111111111111,0.0174444444444444,0.00838888888888889,0
12,0.727777777777778,0.136833333333333,0.0489444444444444,0,0.000833333333333333,0.0134444444444444,0,0.0555,0.0166666666666667,0
13,0.722444444444444,0.139166666666667,0.0351666666666667,0.000111111111111111,0.00155555555555556,0.00961111111111111,0,0.0391666666666667,0.0527777777777778,0
14,0.746944444444445,0.136611111111111,0.0210555555555556,0,0.000555555555555556,0.00644444444444444,0.003,0.0431666666666667,0.042,0
15,0.673833333333333,0.231722222222222,0.0444444444444444,5.55555555555556e-05,0.0015,0.00194444444444444,0.000888888888888889,0.0392777777777778,0.00622222222222222,0
16,0.674888888888889,0.124722222222222,0.0443888888888889,0,0.000888888888888889,0.00411111111111111,0.000388888888888889,0.0341111111111111,0.116388888888889,0
17,0.71801872074883,0.136394027189659,0.0428459995542679,0.000278582571874304,0.0012814798306218,0.00679741475373301,0.000390015600624025,0.0261867617561845,0.0676955649654558,0
18,0.757388888888889,0.1515,0.0398333333333333,0.000555555555555556,0.00183333333333333,0.00844444444444445,0.000611111111111111,0.0210555555555556,0.0186666666666667,0
19,0.744555555555556,0.130555555555556,0.0355,0,0.00188888888888889,0.00588888888888889,0.00183333333333333,0.0409444444444444,0.0376111111111111,0
20,0.781444444444444,0.159833333333333,0.0379444444444444,0.000222222222222222,0.00105555555555556,0.00388888888888889,5.55555555555556e-05,0.0121111111111111,0.00344444444444444,0
21,0.684444444444444,0.219611111111111,0.0383888888888889,0,0.00177777777777778,0.0105555555555556,0,0.0385555555555556,0.00666666666666667,0
22,0.695777777777778,0.178055555555556,0.0341666666666667,0.00872222222222222,0.00355555555555556,0.00766666666666667,0.0263333333333333,0,0.0441666666666667,0.000277777777777778
23,0.716888888888889,0.103666666666667,0.0318333333333333,0,0.00116666666666667,0.0313888888888889,0.000388888888888889,0.0686666666666667,0.0457777777777778,0
24,0.802888888888889,0.112055555555556,0.0310555555555556,0.000277777777777778,0.00116666666666667,0.00216666666666667,0.000222222222222222,0.0313333333333333,0.0185,0
25,0.628333333333333,0.148111111111111,0.0212222222222222,0,0.00477777777777778,0.00644444444444444,0.000888888888888889,0.0304444444444444,0.159777777777778,0
26,0.69570072585148,0.148520379676159,0.0256839754327191,0,0.00312674483528755,0.00742601898380793,0.000390843104410944,0.0341708542713568,0.0849804578447795,0
27,0.763388888888889,0.147777777777778,0.0298888888888889,0,0.00172222222222222,0.00827777777777778,0,0.0396111111111111,0.00933333333333333,0
28,0.762555555555556,0.123444444444444,0.0205,5.55555555555556e-05,0.00111111111111111,0.0124444444444444,0,0.0432777777777778,0.0366111111111111,0
29,0.721611111111111,0.170166666666667,0.0367222222222222,0.000111111111111111,0.0015,0.00866666666666667,0.000722222222222222,0.0596666666666667,0.000833333333333333,0
30,0.718833333333333,0.119444444444444,0.038,0,0.002,0.00844444444444444,0.000166666666666667,0.0506666666666667,0.0623333333333333,0.000111111111111111
31,0.720944444444444,0.156555555555556,0.0489444444444444,5.55555555555556e-05,0.00188888888888889,0.00616666666666667,0,0.0448888888888889,0.0205555555555556,0
32,0.718888888888889,0.163388888888889,0.0477222222222222,0.000666666666666667,0.00155555555555556,0.00544444444444444,0,0.0456111111111111,0.0167222222222222,0
33,0.719444444444444,0.168166666666667,0.0477777777777778,0.00216666666666667,0.00183333333333333,0.00561111111111111,0,0.0417222222222222,0.0132777777777778,0
34,0.7185,0.175222222222222,0.0458888888888889,0.00388888888888889,0.00172222222222222,0.00505555555555556,0,0.0397777777777778,0.00994444444444444,0
35,0.717444444444444,0.181277777777778,0.0460555555555556,0.00622222222222222,0.00133333333333333,0.00422222222222222,0,0.0351111111111111,0.00833333333333333,0
36,0.716666666666667,0.186222222222222,0.0459444444444444,0.009,0.00138888888888889,0.00394444444444444,0,0.0307777777777778,0.00605555555555556,0
37,0.718222222222222,0.189222222222222,0.0452777777777778,0.0113888888888889,0.00127777777777778,0.00344444444444444,0,0.0264444444444444,0.00472222222222222,0
38,0.721111111111111,0.191444444444444,0.0444444444444444,0.0145555555555556,0.00155555555555556,0.00272222222222222,0,0.0207777777777778,0.00338888888888889,0
39,0.720611111111111,0.195777777777778,0.0427777777777778,0.0171111111111111,0.00144444444444444,0.00205555555555556,0,0.0178333333333333,0.00238888888888889,0
40,0.718555555555556,0.199444444444444,0.0435555555555556,0.02,0.00138888888888889,0.00183333333333333,0,0.0130555555555556,0.00216666666666667,0
41,0.720777777777778,0.199888888888889,0.0413888888888889,0.0209444444444444,0.00161111111111111,0.00138888888888889,0,0.0121111111111111,0.00188888888888889,0
42,0.723222222222222,0.198555555555556,0.0405555555555556,0.0217777777777778,0.00227777777777778,0.0015,0,0.0103333333333333,0.00177777777777778,0
43,0.632,0.261888888888889,0.0469444444444444,0.0258888888888889,0.00588888888888889,0.00444444444444444,5e-04,0.0131111111111111,0.00916666666666667,0
44,0.572555555555556,0.277611111111111,0.0761666666666667,0.0102777777777778,0.00433333333333333,0.00372222222222222,0.000944444444444444,0.002,0.0523888888888889,0
45,0.496777777777778,0.164722222222222,0.0222777777777778,0.00377777777777778,0.00144444444444444,0.00322222222222222,0,0,0.307777777777778,0
46,0.564666666666667,0.2975,0.0475,0.0246666666666667,0.00444444444444444,0.00872222222222222,0,0,0.0525,0
47,0.557888888888889,0.258277777777778,0.0464444444444444,0.0299444444444444,0.00344444444444444,0.00983333333333333,0,0,0.0941666666666667,0
48,0.535055555555556,0.199833333333333,0.0417222222222222,0.0330555555555556,0.00205555555555556,0.0111111111111111,0,5.55555555555556e-05,0.177111111111111,0
49,0.517722222222222,0.153722222222222,0.0388888888888889,0.00172222222222222,0.00222222222222222,0.00483333333333333,0.000222222222222222,0,0.280555555555556,0
50,0.638722222222222,0.210833333333333,0.0408333333333333,0.00327777777777778,0.00316666666666667,0.0045,0,0,0.0986666666666667,0
51,0.645222222222222,0.209722222222222,0.0437777777777778,0.00633333333333333,0.00666666666666667,0.00355555555555556,0.000111111111111111,0.000277777777777778,0.0842777777777778,5.55555555555556e-05
52,0.621611111111111,0.196166666666667,0.0610555555555556,0.00722222222222222,0.0065,0.00683333333333333,5.55555555555556e-05,0.000222222222222222,0.100166666666667,0.000166666666666667
53,0.606,0.178777777777778,0.0697777777777778,0.00672222222222222,0.00572222222222222,0.0108888888888889,0,0,0.121888888888889,0.000222222222222222
54,0.678,0.254611111111111,0.0215,0.0152777777777778,0.00394444444444444,0.0055,0,0,0.0211666666666667,0
55,0.560777777777778,0.345888888888889,0.0163333333333333,0.00866666666666667,0.0204444444444444,0.00605555555555556,0.000111111111111111,0,0.0407222222222222,0.000944444444444444
56,0.462388888888889,0.4155,0.0146111111111111,0.00305555555555556,0.0362222222222222,0.00616666666666667,0.000111111111111111,0,0.0596666666666667,0.00205555555555556
57,0.629333333333333,0.2265,0.0413888888888889,0.0152777777777778,0.00788888888888889,0.00616666666666667,0,0.00733333333333333,0.0656666666666667,0.000444444444444444
58,0.601388888888889,0.293222222222222,0.0439444444444444,0.0241666666666667,0.009,0.00583333333333333,0.00133333333333333,0.0116666666666667,0.00916666666666667,0.000166666666666667
59,0.6185,0.262333333333333,0.0442777777777778,0.0237777777777778,0.00794444444444444,0.00638888888888889,0.00105555555555556,0.0242777777777778,0.0111111111111111,0.000166666666666667
60,0.627719219555954,0.252074456156089,0.0425543843911191,0.0348732899753308,0.00672796591163938,0.0065597667638484,0.000728862973760933,0.0196793002915452,0.00880242206772819,0.000168199147790985
61,0.617423819622726,0.260855006139078,0.0385087621386315,0.0551400825985043,0.00563678982029244,0.006585556423708,0.000390668601406407,0.0108271012389776,0.00429735461547048,0.000167429400602746
62,0.607444444444444,0.269277777777778,0.0365,0.0658888888888889,0.00538888888888889,0.00683333333333333,0.000277777777777778,0.00605555555555556,0.00194444444444444,0.000166666666666667
63,0.605611111111111,0.272111111111111,0.0373333333333333,0.0625,0.00533333333333333,0.00733333333333333,0.000333333333333333,0.00716666666666667,0.002,0.000111111111111111
64,0.604722222222222,0.274,0.0383888888888889,0.0583888888888889,0.00544444444444444,0.00694444444444444,0.000388888888888889,0.00955555555555555,0.00205555555555556,0
65,0.605333333333333,0.273444444444444,0.0378888888888889,0.0556111111111111,0.00505555555555556,0.00633333333333333,0.000444444444444444,0.0129444444444444,0.00272222222222222,0.000111111111111111
66,0.606944444444445,0.272666666666667,0.0378333333333333,0.0493888888888889,0.00555555555555556,0.006,0.000555555555555556,0.0176666666666667,0.00322222222222222,5.55555555555556e-05
67,0.616833333333333,0.266,0.037,0.0433888888888889,0.00533333333333333,0.00527777777777778,0.000444444444444444,0.0217777777777778,0.00383333333333333,5.55555555555556e-05
68,0.621444444444444,0.261944444444444,0.038,0.0373333333333333,0.00516666666666667,0.00472222222222222,5e-04,0.0265,0.00433333333333333,0
69,0.626888888888889,0.257277777777778,0.0378888888888889,0.0339444444444444,0.00588888888888889,0.00427777777777778,0.000444444444444444,0.0292777777777778,0.00411111111111111,0
70,0.635333333333333,0.250388888888889,0.0381111111111111,0.0287222222222222,0.00572222222222222,0.004,0.000555555555555556,0.0321666666666667,0.005,0
71,0.6385,0.246666666666667,0.0396111111111111,0.0252777777777778,0.00594444444444444,0.00466666666666667,0.000611111111111111,0.0341666666666667,0.00455555555555556,0
72,0.766555555555556,0.141888888888889,0.0452222222222222,0.0245,0.00438888888888889,0.00461111111111111,0.000111111111111111,0.0110555555555556,0.00133333333333333,0
73,0.766777777777778,0.141777777777778,0.0452222222222222,0.0231111111111111,0.00372222222222222,0.00522222222222222,0,0.0123333333333333,0.00144444444444444,0
74,0.760111111111111,0.143333333333333,0.0447222222222222,0.0232222222222222,0.00377777777777778,0.00661111111111111,5.55555555555556e-05,0.0165,0.00127777777777778,0
75,0.751,0.149166666666667,0.0446666666666667,0.0216111111111111,0.00383333333333333,0.00761111111111111,0,0.0198888888888889,0.00183333333333333,0
76,0.736833333333333,0.153055555555556,0.0455555555555556,0.0206111111111111,0.00355555555555556,0.00983333333333333,0,0.0279444444444444,0.00244444444444444,0
77,0.721555555555556,0.161333333333333,0.0439444444444444,0.0184444444444444,0.00355555555555556,0.0124444444444444,0,0.0352222222222222,0.00327777777777778,5.55555555555556e-05
78,0.708777777777778,0.165111111111111,0.044,0.0173333333333333,0.00305555555555556,0.0147222222222222,0,0.0424444444444444,0.00433333333333333,0.000111111111111111
79,0.695555555555556,0.173611111111111,0.0413888888888889,0.0152777777777778,0.00283333333333333,0.0167777777777778,0,0.0485555555555556,0.00594444444444444,0
80,0.685,0.177444444444444,0.0408888888888889,0.0128888888888889,0.00272222222222222,0.0185,0,0.0545,0.00788888888888889,0.000166666666666667
81,0.676222222222222,0.185611111111111,0.0382222222222222,0.0101666666666667,0.00272222222222222,0.0195,0,0.0566111111111111,0.0106666666666667,0.000277777777777778
82,0.614944444444444,0.1825,0.024,0.00244444444444444,0.0045,0.0208333333333333,0.00166666666666667,0.0307222222222222,0.117277777777778,0.00111111111111111
83,0.730444444444444,0.197277777777778,0.0430555555555556,0.0128333333333333,0.00427777777777778,0.00333333333333333,0,0.00777777777777778,0.001,0
84,0.710055555555556,0.220833333333333,0.02,0.0312222222222222,0.00638888888888889,0.00133333333333333,0,0.000333333333333333,0.00961111111111111,0.000222222222222222
85,0.659555555555556,0.218833333333333,0.0606111111111111,0.0305,0.00472222222222222,0.00361111111111111,0,0.0212777777777778,0.000777777777777778,0.000111111111111111
86,0.667888888888889,0.212888888888889,0.0583888888888889,0.0303888888888889,0.00438888888888889,0.00433333333333333,0,0.021,0.000611111111111111,0.000111111111111111
87,0.6835,0.204777777777778,0.0543333333333333,0.0292222222222222,0.00394444444444444,0.00466666666666667,0,0.0191111111111111,0.000333333333333333,0.000111111111111111
88,0.701333333333333,0.1985,0.0463888888888889,0.0283333333333333,0.00383333333333333,0.00477777777777778,0,0.0163888888888889,0.000333333333333333,0.000111111111111111
89,0.710888888888889,0.1955,0.0426111111111111,0.0277222222222222,0.004,0.00488888888888889,0,0.0141111111111111,0.000166666666666667,0.000111111111111111
90,0.712944444444444,0.199833333333333,0.0396666666666667,0.0268888888888889,0.00433333333333333,0.00544444444444444,0,0.0106111111111111,0.000166666666666667,0.000111111111111111
91,0.600611111111111,0.307333333333333,0.0604444444444444,0.0149444444444444,0.00533333333333333,0.0045,0,0.00683333333333333,0,0
92,0.602888888888889,0.273166666666667,0.0495555555555556,0.0173333333333333,0.00588888888888889,0.00594444444444444,0,0.0448333333333333,0,0.000388888888888889
93,0.643722222222222,0.216277777777778,0.0605,0.03,0.00877777777777778,0.00822222222222222,0,0.0318888888888889,0.000277777777777778,0.000166666666666667
