"Time","Enterobacterales_A_737866","Lactobacillales","Veillonellales","Bacteroidales","Oscillospirales","Lachnospirales","Acidaminococcales","Burkholderiales_595427","Erysipelotrichales","Desulfovibrionales","UBA1381","Gammaproteobacteria_Class","Haloplasmatales_A","Peptostreptococcales","Fusobacteriales_993521","Tissierellales","Clostridiales","Christensenellales","Verrucomicrobiales","Bacteria_Kingdom","Selenomonadales","Coriobacteriales"
1,0.000166666666666667,0,0,0.801444444444444,0.00655555555555556,0.0632222222222222,0.000333333333333333,0,0.000277777777777778,0.00644444444444444,0,0,0,0.000166666666666667,0,0,0.000166666666666667,0,0.00172222222222222,0.1195,0,0
2,5.60161326462021e-05,0,0,0.677851221151692,0.0119874523862873,0.109063410262156,0.00851445216222272,0,0.000560161326462021,0.00672193591754425,0,0,0,0.00655388751960565,0,0,0.000168048397938606,0,0.0191015012323549,0.159421913511091,0,0
3,0,0,0,0.595839945590569,0.0160394468374518,0.136873724778962,0.0185898889140784,0,0.000736794377692133,0.00714123781455452,0,0,0,0.0106551802312401,0,0,0.000170029471775108,0,0.0366130129222399,0.177340739061437,0,0
4,0,0,0,0.5595,0.018,0.143444444444444,0.0293888888888889,0,0.000833333333333333,0.00733333333333333,0,0,0,0.0118888888888889,0,0,0.000222222222222222,0,0.0525555555555556,0.176833333333333,0,0
5,5.53464688952845e-05,0.000664157626743414,0,0.580805844587115,0.0194266105822449,0.119880451627186,0.0458268762452956,0,0.000664157626743414,0.00763781270754926,0,0,5.53464688952845e-05,0.00968563205667478,0,0,0.000110692937790569,0,0.0720611025016604,0.143125968563206,0,0
6,0.000113250283125708,0.00198187995469989,0,0.636636466591166,0.0242921857304643,0.0836919592298981,0.065911664779162,0,0.000453001132502831,0.00826727066817667,0,0,0.000169875424688562,0.00583238958097395,0,0,5.66251415628539e-05,0,0.0936579841449604,0.0789354473386183,0,0
7,0.000222222222222222,0.00272222222222222,0,0.684277777777778,0.0307777777777778,0.0669444444444444,0.0735555555555556,0,0.000444444444444444,0.00833333333333333,0,0,0.000388888888888889,0.00372222222222222,0,0,0,0,0.100722222222222,0.0278333333333333,0,0
8,0.000111111111111111,0.000111111111111111,0.000111111111111111,0.731888888888889,0.0625,0.105277777777778,0.0583333333333333,0,0.000777777777777778,0.00555555555555556,0,0,0.000666666666666667,0.00272222222222222,0,0,0,0,0.0223888888888889,0.00955555555555555,0,0
9,0.000222222222222222,0.00138888888888889,0,0.742166666666667,0.0362222222222222,0.0793333333333333,0.0552777777777778,0,0.000111111111111111,0.005,0,0,0.000166666666666667,0.000833333333333333,0,0,0,0,0.0172777777777778,0.062,0,0
10,0.000111111111111111,0.000277777777777778,5e-04,0.736388888888889,0.0368333333333333,0.118222222222222,0.0535555555555556,0,0.000388888888888889,0.0105,0,0,0.000722222222222222,0.00122222222222222,0,0.000111111111111111,0,0,0.0354444444444444,0.00572222222222222,0,0
11,0.000277777777777778,0.000888888888888889,0.000166666666666667,0.726666666666667,0.0690555555555556,0.131222222222222,0.0381111111111111,0,0.000277777777777778,0.006,0,0,5.55555555555556e-05,0.00105555555555556,0.000111111111111111,0,0.000111111111111111,0,0.0174444444444444,0.00838888888888889,0,0
12,0,0.000611111111111111,0,0.727777777777778,0.0343888888888889,0.100388888888889,0.0488333333333333,0,0.000166666666666667,0.0134444444444444,0,0,5.55555555555556e-05,0.00205555555555556,0,0,0,0,0.0555,0.0166666666666667,0.000111111111111111,0
13,0.000111111111111111,0.000833333333333333,0.000666666666666667,0.722444444444444,0.0502222222222222,0.0866111111111111,0.0345,0,0.000722222222222222,0.00961111111111111,0,0,0,0.00222222222222222,0,0.000111111111111111,0,0,0.0391666666666667,0.0527777777777778,0,0
14,0,0.000222222222222222,0.000611111111111111,0.746944444444445,0.0453888888888889,0.0898888888888889,0.0204444444444444,0,0.000333333333333333,0.00644444444444444,0,0,0,0.001,0.003,0.000333333333333333,0,0,0.0431666666666667,0.042,0,0
15,5.55555555555556e-05,0.000611111111111111,0.000166666666666667,0.673833333333333,0.0638888888888889,0.166944444444444,0.0442777777777778,0,0.000888888888888889,0.00194444444444444,0,0,0,0.000666666666666667,0.000888888888888889,0.000222222222222222,0,0,0.0392777777777778,0.00622222222222222,0,0
16,0,0,0.000111111111111111,0.674888888888889,0.0458333333333333,0.0778333333333333,0.0442777777777778,0,0.000888888888888889,0.00411111111111111,0,0,0,0.000444444444444444,0.000388888888888889,0.000611111111111111,0,0,0.0341111111111111,0.116388888888889,0,0
17,0.000278582571874304,0.000111433028749721,0.000111433028749721,0.71801872074883,0.0570537107198574,0.0785602852685536,0.0427345665255182,0,0.00105861377312235,0.00679741475373301,0,0,0.000111433028749721,0.000390015600624025,0.000390015600624025,0.000334299086249164,5.57165143748607e-05,0,0.0261867617561845,0.0676955649654558,0,0
18,0.000555555555555556,0.000277777777777778,0.000444444444444444,0.757388888888889,0.0675555555555555,0.0833888888888889,0.0393888888888889,0,0.00133333333333333,0.00844444444444445,0,0,0.000222222222222222,0.000333333333333333,0.000611111111111111,0.000111111111111111,0.000111111111111111,0,0.0210555555555556,0.0186666666666667,0,0
19,0,0.000333333333333333,0.000722222222222222,0.744555555555556,0.0363333333333333,0.0936111111111111,0.0347777777777778,0,0.00155555555555556,0.00588888888888889,0,0,0,0,0.00183333333333333,0.000611111111111111,0,0,0.0409444444444444,0.0376111111111111,0,0
20,0.000222222222222222,0.000388888888888889,0.000111111111111111,0.781444444444444,0.0365,0.123277777777778,0.0378333333333333,0,0.000666666666666667,0.00388888888888889,0,0,0,5.55555555555556e-05,5.55555555555556e-05,0,0,0,0.0121111111111111,0.00344444444444444,0,0
21,0,0,0,0.684444444444444,0.0550555555555556,0.164555555555556,0.0383888888888889,0,0.00177777777777778,0.0105555555555556,0,0,0,0,0,0,0,0,0.0385555555555556,0.00666666666666667,0,0
22,5.55555555555556e-05,0.000111111111111111,0.00227777777777778,0.695777777777778,0.0653333333333333,0.107111111111111,0.0317222222222222,0.00633333333333333,0.00305555555555556,0.00766666666666667,0,0.00105555555555556,0,0.00116666666666667,0.0263333333333333,0.00444444444444444,0,0,0,0.0441666666666667,0.000166666666666667,0.000277777777777778
23,0,0.000166666666666667,0.000222222222222222,0.716888888888889,0.0403888888888889,0.0625,0.0316111111111111,0,0.000944444444444444,0.0313888888888889,0,0,0,0.000555555555555556,0.000388888888888889,0,0,0,0.0686666666666667,0.0457777777777778,0,0
24,0.000277777777777778,0.000277777777777778,0.000222222222222222,0.802888888888889,0.0378333333333333,0.0732222222222222,0.0308333333333333,0,0.000888888888888889,0.00216666666666667,0,0,0,0.000777777777777778,0.000222222222222222,0.000111111111111111,0.000111111111111111,0,0.0313333333333333,0.0185,0,0
25,0,0.000833333333333333,0,0.628333333333333,0.0484444444444444,0.0979444444444444,0.0212222222222222,0,0.00333333333333333,0.00644444444444444,0,0,0.000611111111111111,0.00161111111111111,0.000888888888888889,0.000111111111111111,0,0,0.0304444444444444,0.159777777777778,0,0
26,0,0.000446677833612507,0,0.69570072585148,0.0635957565605807,0.0836404243439419,0.0256839754327191,0,0.00240089335566723,0.00742601898380793,0,0,0.000279173646007817,0.00117252931323283,0.000390843104410944,5.58347292015634e-05,5.58347292015634e-05,0,0.0341708542713568,0.0849804578447795,0,0
27,0,0.000166666666666667,0,0.763388888888889,0.0765,0.0703333333333333,0.0298888888888889,0,0.00155555555555556,0.00827777777777778,0,0,0,0.000666666666666667,0,0,0.000277777777777778,0,0.0396111111111111,0.00933333333333333,0,0
28,5.55555555555556e-05,0,0,0.762555555555556,0.0565,0.0652222222222222,0.0205,0,0.00111111111111111,0.0124444444444444,0,0,0,0.000944444444444444,0,0,0.000777777777777778,0,0.0432777777777778,0.0366111111111111,0,0
29,0.000111111111111111,0.000333333333333333,0.000722222222222222,0.721611111111111,0.0531111111111111,0.116666666666667,0.036,0,0.00116666666666667,0.00866666666666667,0,0,0,0.000333333333333333,0.000722222222222222,0,5.55555555555556e-05,0,0.0596666666666667,0.000833333333333333,0,0
30,0,0.000166666666666667,0,0.718833333333333,0.0257222222222222,0.0925,0.038,0,0.00172222222222222,0.00844444444444444,0,0,0.000111111111111111,0.00122222222222222,0.000166666666666667,0,0,0,0.0506666666666667,0.0623333333333333,0,0.000111111111111111
31,5.55555555555556e-05,0.000333333333333333,0,0.720944444444444,0.0432777777777778,0.112444444444444,0.0489444444444444,0,0.00116666666666667,0.00616666666666667,0,0,0.000388888888888889,5e-04,0,0,0.000333333333333333,0,0.0448888888888889,0.0205555555555556,0,0
32,0.000388888888888889,0.000277777777777778,0,0.718888888888889,0.0520555555555556,0.1105,0.0477222222222222,0.000277777777777778,0.000833333333333333,0.00544444444444444,0,0,0.000444444444444444,5e-04,0,0,0.000333333333333333,0,0.0456111111111111,0.0167222222222222,0,0
33,0.000888888888888889,0.000277777777777778,0,0.719444444444444,0.0588888888888889,0.108611111111111,0.0477777777777778,0.00122222222222222,0.00105555555555556,0.00561111111111111,0,5.55555555555556e-05,5e-04,0.000444444444444444,0,0,0.000222222222222222,0,0.0417222222222222,0.0132777777777778,0,0
34,0.00138888888888889,0.000277777777777778,0.000111111111111111,0.7185,0.0653888888888889,0.109111111111111,0.0457777777777778,0.00227777777777778,0.00105555555555556,0.00505555555555556,0,0.000222222222222222,0.000388888888888889,0.000388888888888889,0,0,0.000333333333333333,0,0.0397777777777778,0.00994444444444444,0,0
35,0.00188888888888889,0.000222222222222222,0.000333333333333333,0.717444444444444,0.0738888888888889,0.106944444444444,0.0457222222222222,0.004,0.000833333333333333,0.00422222222222222,0,0.000333333333333333,0.000277777777777778,0.000222222222222222,0,0,0.000222222222222222,0,0.0351111111111111,0.00833333333333333,0,0
36,0.00322222222222222,0.000333333333333333,0.000388888888888889,0.716666666666667,0.0783888888888889,0.107388888888889,0.0455555555555556,0.00538888888888889,0.000666666666666667,0.00394444444444444,0,0.000388888888888889,0.000388888888888889,0.000222222222222222,0,0,0.000222222222222222,0,0.0307777777777778,0.00605555555555556,0,0
37,0.00361111111111111,0.000277777777777778,0.000666666666666667,0.718222222222222,0.0827777777777778,0.106222222222222,0.0446111111111111,0.00711111111111111,0.000722222222222222,0.00344444444444444,5.55555555555556e-05,0.000666666666666667,0.000277777777777778,0.000111111111111111,0,0,5.55555555555556e-05,0,0.0264444444444444,0.00472222222222222,0,0
38,0.00477777777777778,0.000388888888888889,0.000833333333333333,0.721111111111111,0.0836666666666667,0.107444444444444,0.0436111111111111,0.00888888888888889,0.000888888888888889,0.00272222222222222,5.55555555555556e-05,0.000888888888888889,0.000277777777777778,0.000222222222222222,0,0,5.55555555555556e-05,0,0.0207777777777778,0.00338888888888889,0,0
39,0.00588888888888889,0.000388888888888889,0.00105555555555556,0.720611111111111,0.0888333333333333,0.106777777777778,0.0417222222222222,0.00994444444444444,0.000777777777777778,0.00205555555555556,5.55555555555556e-05,0.00127777777777778,0.000277777777777778,0.000111111111111111,0,0,0,0,0.0178333333333333,0.00238888888888889,0,0
40,0.00688888888888889,0.000277777777777778,0.00127777777777778,0.718555555555556,0.0900555555555556,0.109333333333333,0.0422777777777778,0.0119444444444444,0.001,0.00183333333333333,5.55555555555556e-05,0.00116666666666667,0.000111111111111111,0,0,0,0,0,0.0130555555555556,0.00216666666666667,0,0
41,0.0075,0.000444444444444444,0.00144444444444444,0.720777777777778,0.0931666666666667,0.1065,0.0399444444444444,0.0123333333333333,0.00105555555555556,0.00138888888888889,0.000111111111111111,0.00111111111111111,0.000111111111111111,0.000111111111111111,0,0,0,0,0.0121111111111111,0.00188888888888889,0,0
42,0.00772222222222222,5e-04,0.00155555555555556,0.723222222222222,0.0895,0.108666666666667,0.039,0.0125,0.00166666666666667,0.0015,0.000277777777777778,0.00155555555555556,0.000111111111111111,0.000111111111111111,0,0,0,0,0.0103333333333333,0.00177777777777778,0,0
43,0.0115,0.000444444444444444,0.00372222222222222,0.632,0.127277777777778,0.133777777777778,0.0428333333333333,0.0125,0.00522222222222222,0.00444444444444444,5e-04,0.00188888888888889,0,0,5e-04,0.000111111111111111,0.000111111111111111,0,0.0131111111111111,0.00916666666666667,0.000388888888888889,0
44,0.000333333333333333,0.000388888888888889,0.000388888888888889,0.572555555555556,0.147277777777778,0.129722222222222,0.0756111111111111,0.00861111111111111,0.00394444444444444,0.00372222222222222,0.000611111111111111,0.00133333333333333,0,0,0.000944444444444444,0,0,0,0.002,0.0523888888888889,0.000166666666666667,0
45,0,0,0,0.496777777777778,0.102388888888889,0.0622222222222222,0.0221666666666667,0.00366666666666667,0.00144444444444444,0.00322222222222222,0.000111111111111111,0.000111111111111111,0,0,0,0,0,0,0,0.307777777777778,0.000111111111111111,0
46,0.000444444444444444,0.000388888888888889,5.55555555555556e-05,0.564666666666667,0.138333333333333,0.158944444444444,0.0469444444444444,0.0215,0.00388888888888889,0.00872222222222222,0.000166666666666667,0.00272222222222222,0,0,0,0,0,0,0,0.0525,5e-04,0
47,0.000222222222222222,0.000277777777777778,5.55555555555556e-05,0.557888888888889,0.106333333333333,0.151666666666667,0.0458333333333333,0.0252777777777778,0.00305555555555556,0.00983333333333333,0.000166666666666667,0.00444444444444444,0.000111111111111111,0,0,0,5.55555555555556e-05,0,0,0.0941666666666667,0.000555555555555556,0
48,0,0,0,0.535055555555556,0.0674444444444444,0.131888888888889,0.041,0.0269444444444444,0.00183333333333333,0.0111111111111111,0.000277777777777778,0.00611111111111111,0.000222222222222222,0,0,0,0.000111111111111111,0,5.55555555555556e-05,0.177111111111111,0.000722222222222222,0
49,0,0,0,0.517722222222222,0.0643888888888889,0.0888333333333333,0.0386666666666667,0.00144444444444444,5e-04,0.00483333333333333,0.000277777777777778,0.000277777777777778,0,0,0.000222222222222222,0.000222222222222222,0,0,0,0.280555555555556,0.000222222222222222,0
50,0,0,0,0.638722222222222,0.0688888888888889,0.141333333333333,0.0404444444444444,0.00288888888888889,0.00311111111111111,0.0045,0,0.000388888888888889,5.55555555555556e-05,0.000222222222222222,0,0.000166666666666667,0.000111111111111111,0,0,0.0986666666666667,0.000388888888888889,0
51,0,0,0.000166666666666667,0.645166666666667,0.0926111111111111,0.117,0.0433888888888889,0.0055,0.00661111111111111,0.00355555555555556,0,0.000833333333333333,5.55555555555556e-05,0.000111111111111111,0.000111111111111111,0,0,0,0.000277777777777778,0.0842777777777778,0.000222222222222222,5.55555555555556e-05
52,0,0.000277777777777778,0.000166666666666667,0.621555555555556,0.0867777777777778,0.108833333333333,0.0606111111111111,0.00627777777777778,0.00616666666666667,0.00683333333333333,0,0.000944444444444444,5.55555555555556e-05,0.000388888888888889,5.55555555555556e-05,0.000166666666666667,0,0,0.000222222222222222,0.100166666666667,0.000277777777777778,0.000166666666666667
53,0,0.000888888888888889,0,0.606,0.0757222222222222,0.102055555555556,0.0697222222222222,0.00561111111111111,0.00477777777777778,0.0108888888888889,0,0.00111111111111111,5.55555555555556e-05,0.000666666666666667,0,0.000333333333333333,0,0,0,0.121888888888889,5.55555555555556e-05,0.000222222222222222
54,0.000666666666666667,0.000722222222222222,0,0.678,0.0953333333333333,0.155333333333333,0.0213888888888889,0.0121666666666667,0.00272222222222222,0.0055,0.00294444444444444,0.00244444444444444,5e-04,0.000944444444444444,0,0,5.55555555555556e-05,0,0,0.0211666666666667,0.000111111111111111,0
55,0.000444444444444444,0.00272222222222222,0.000222222222222222,0.560777777777778,0.134277777777778,0.202555555555556,0.016,0.00727777777777778,0.0174444444444444,0.00605555555555556,0.00761111111111111,0.000944444444444444,0.000277777777777778,0.000833333333333333,0.000111111111111111,0.000166666666666667,0.000444444444444444,0,0,0.0407222222222222,0.000111111111111111,0.000944444444444444
56,0.000333333333333333,0.00555555555555556,0.000444444444444444,0.462388888888889,0.158944444444444,0.242111111111111,0.014,0.00238888888888889,0.0304444444444444,0.00616666666666667,0.0115555555555556,0.000333333333333333,0.000222222222222222,0.00116666666666667,0.000111111111111111,0.000555555555555556,0.00116666666666667,0,0,0.0596666666666667,0.000166666666666667,0.00205555555555556
57,0,0.000777777777777778,0,0.629333333333333,0.0913333333333333,0.130611111111111,0.0409444444444444,0.0128888888888889,0.00672222222222222,0.00616666666666667,0.00427777777777778,0.00238888888888889,0.000388888888888889,0.000277777777777778,0,0,0,0,0.00733333333333333,0.0656666666666667,0.000444444444444444,0.000444444444444444
58,0.000166666666666667,0.000611111111111111,0.000166666666666667,0.601388888888889,0.103,0.182388888888889,0.0430555555555556,0.0205,0.00811111111111111,0.00583333333333333,0.00722222222222222,0.0035,0.000222222222222222,0.000222222222222222,0.00133333333333333,0.000277777777777778,0.000111111111111111,0,0.0116666666666667,0.00916666666666667,0.000722222222222222,0.000166666666666667
59,0.000166666666666667,0.000444444444444444,0.000166666666666667,0.6185,0.0906111111111111,0.165222222222222,0.0432777777777778,0.0204444444444444,0.00727777777777778,0.00638888888888889,0.006,0.00316666666666667,0.000111111111111111,0.000166666666666667,0.00105555555555556,0.000222222222222222,0.000111111111111111,0,0.0242777777777778,0.0111111111111111,0.000833333333333333,0.000166666666666667
60,0.000168199147790985,0.000392464678178964,0.00011213276519399,0.627719219555954,0.0738394258802422,0.171058533303431,0.0418255214173582,0.0293787844808253,0.00599910293787845,0.0065597667638484,0.00398071316438663,0.00532630634671451,0.000280331912984974,0.00252298721686477,0.000728862973760933,0.00011213276519399,0.000560663825969948,0,0.0196793002915452,0.00880242206772819,0.000616730208566943,0.000168199147790985
61,0.000279049001004576,0.000390668601406407,0.000167429400602746,0.617423819622726,0.0543029355954906,0.196171447706217,0.0381739033374261,0.0455407969639469,0.00468802321687688,0.006585556423708,0.00161848420582654,0.00932023663355285,0.000558098002009153,0.00714365442571716,0.000390668601406407,5.58098002009153e-05,0.00156267440562563,0,0.0108271012389776,0.00429735461547048,0.000167429400602746,0.000167429400602746
62,0.000388888888888889,0.000444444444444444,0.000277777777777778,0.607444444444444,0.0448333333333333,0.211944444444444,0.0362222222222222,0.0540555555555556,0.00416666666666667,0.00683333333333333,0.000611111111111111,0.0114444444444444,0.000777777777777778,0.00961111111111111,0.000277777777777778,0.000111111111111111,0.00216666666666667,0,0.00605555555555556,0.00194444444444444,0,0.000166666666666667
63,0.000277777777777778,0.000333333333333333,0.000166666666666667,0.605611111111111,0.0503888888888889,0.209277777777778,0.0371666666666667,0.0512222222222222,0.00438888888888889,0.00733333333333333,0.00116666666666667,0.011,0.000611111111111111,0.00938888888888889,0.000333333333333333,0,0.00188888888888889,0,0.00716666666666667,0.002,0,0.000111111111111111
64,0.000222222222222222,0.000333333333333333,0.000222222222222222,0.604722222222222,0.0551111111111111,0.206611111111111,0.0380555555555556,0.048,0.0045,0.00694444444444444,0.00211111111111111,0.0101666666666667,0.000611111111111111,0.0085,0.000388888888888889,5.55555555555556e-05,0.00155555555555556,0,0.00955555555555555,0.00205555555555556,0.000111111111111111,0
65,0.000222222222222222,0.000166666666666667,0.000222222222222222,0.605333333333333,0.0598333333333333,0.201111111111111,0.0375,0.0461111111111111,0.00455555555555556,0.00633333333333333,0.00433333333333333,0.00927777777777778,0.000333333333333333,0.00672222222222222,0.000444444444444444,0.000111111111111111,0.00122222222222222,0,0.0129444444444444,0.00272222222222222,0.000166666666666667,0.000111111111111111
66,0.000222222222222222,0.000166666666666667,0.000166666666666667,0.606944444444445,0.064,0.195722222222222,0.0372777777777778,0.0405555555555556,0.005,0.006,0.00611111111111111,0.00861111111111111,0.000388888888888889,0.00538888888888889,0.000555555555555556,0.000111111111111111,0.00116666666666667,0,0.0176666666666667,0.00322222222222222,0.000388888888888889,5.55555555555556e-05
