Kingdom,Phylum,Class,Order,Family,Genus,Species
Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,Aurelia.sp
Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis.japonicus
Animalia,Chordata,Actinopterygii,Siluriformes,Plotosidae,Plotosus,Plotosus.lineatus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes.inermis
Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Trachurus,Trachurus.japonicus
Animalia,Chordata,Actinopterygii,Perciformes,Girellidae,Girella,Girella.punctata
Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Pseudolabrus,Pseudolabrus.sieboldi
Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Halichoeres,Halichoeres.poecilopterus
Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Halichoeres,Halichoeres.tenuispinnis
Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Chaenogobius,Chaenogobius.gulosus
Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Pterogobius,Pterogobius.zonoleucus
Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Tridentiger,Tridentiger.trigonocephalus
Animalia,Chordata,Actinopterygii,Perciformes,Siganidae,Siganus,Siganus.fuscescens
Animalia,Chordata,Actinopterygii,Perciformes,Sphyraenidae,Sphyraena,Sphyraena.pinguis
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Rudarius,Rudarius.ercodes